Purchase Date,Financial Accounting,Item Category,Item,Net Quantity,Net Price,Sub Total,Total Discount,COGS,Profit
07/29/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
07/29/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
07/29/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
07/29/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
07/29/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
07/29/24,Food,Food,Burger,2,15000,30000,0,28000,2000
07/29/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
07/29/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
07/29/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
07/29/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
07/29/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
07/29/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
07/29/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
07/29/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
07/29/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
07/29/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
07/30/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
07/30/24,Food,Food,Steak,4,60000,240000,0,220000,20000
07/30/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
07/30/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
07/30/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
07/30/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
07/30/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
07/30/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
07/30/24,Food,Food,Burger,2,15000,30000,0,28000,2000
07/30/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
07/30/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
07/30/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
07/30/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
07/30/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
07/30/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
07/30/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
07/30/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
07/30/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
07/30/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
07/31/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
07/31/24,Food,Food,Steak,4,60000,240000,0,220000,20000
07/31/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
07/31/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
07/31/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
07/31/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
07/31/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
07/31/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
07/31/24,Food,Food,Burger,2,15000,30000,0,28000,2000
07/31/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
07/31/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
07/31/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
07/31/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
07/31/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
07/31/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
07/31/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
07/31/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
07/31/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
07/31/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/01/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/01/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/01/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/01/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/01/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/01/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/01/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/01/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/01/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/01/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/01/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/01/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/01/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/01/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/01/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/01/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/01/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/01/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/01/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/02/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/02/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/02/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/02/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/02/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/02/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/02/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/02/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/02/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/02/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/02/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/02/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/02/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/02/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/02/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/02/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/02/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/02/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/02/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/03/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/03/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/03/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/03/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/03/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/03/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/03/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/03/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/03/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/03/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/03/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/03/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/03/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/03/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/03/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/03/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/03/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/03/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/03/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/04/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/04/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/04/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/04/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/04/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/04/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/04/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/04/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/04/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/04/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/04/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/04/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/04/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/04/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/04/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/04/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/04/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/04/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/04/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/05/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/05/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/05/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/05/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/05/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/05/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/05/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/05/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/05/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/05/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/05/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/05/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/05/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/05/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/05/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/05/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/05/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/05/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/05/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/06/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/06/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/06/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/06/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/06/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/06/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/06/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/06/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/06/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/06/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/06/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/06/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/06/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/06/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/06/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/06/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/06/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/06/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/06/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/07/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/07/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/07/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/07/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/07/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/07/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/07/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/07/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/07/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/07/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/07/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/07/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/07/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/07/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/07/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/07/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/07/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/07/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/07/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/08/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/08/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/08/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/08/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/08/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/08/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/08/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/08/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/08/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/08/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/08/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/08/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/08/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/08/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/08/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/08/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/08/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/08/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/08/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/09/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/09/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/09/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/09/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/09/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/09/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/09/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/09/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/09/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/09/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/09/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/09/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/09/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/09/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/09/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/09/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/09/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/09/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/09/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/10/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/10/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/10/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
08/10/24,Food,Food,Fried Chicken,10,3000,30000,0,20000,10000
08/10/24,Food,Food,Noodles,8,6000,48000,0,40000,8000
08/10/24,Food,Food,Salmon,4,15000,60000,0,56000,4000
08/10/24,Food,Food,Macaroni,1,5000,5000,0,4000,1000
08/10/24,Food,Food,Fish & Chips,3,30000,90000,0,81000,9000
08/10/24,Food,Food,Burger,2,15000,30000,0,28000,2000
08/10/24,Food,Food,Hotdog,3,10000,30000,0,27000,3000
08/10/24,Food,Food,Pasta,1,18000,18000,0,16000,2000
08/10/24,Food,Snack,Chips,2,5000,10000,0,8000,2000
08/10/24,Food,Snack,Popcorn,1,7000,7000,0,6500,500
08/10/24,Food,Snack,Almonds,1,8000,8000,0,7000,1000
08/10/24,Food,Beverages,Lemon Tea,5,4000,20000,0,15000,5000
08/10/24,Food,Beverages,Ocha,2,4000,8000,0,7000,1000
08/10/24,Food,Beverages,Lychee Tea,3,6000,18000,0,15000,3000
08/10/24,Food,Beverages,Oolong Tea,1,6000,6000,0,5000,1000
08/10/24,Food,Beverages,Soda,3,5000,15000,0,12000,3000
08/11/24,Food,Food,Takoyaki,3,10000,30000,0,24000,6000
08/11/24,Food,Food,Steak,4,60000,240000,0,220000,20000
08/11/24,Food,Food,Rendang,1,10000,10000,0,8000,2000
